edad;ingresos;vivienda;tiempo trabajado;motivo;scoring;cantidad;tipo de interes;solvencia;ratio endeudamiento;impagos;historial crediticio
25;30000;alquiler;4;estudios;C;4000;13.49;0;0.13;si;4
22;30000;alquiler;3;personal;B;4000;11.49;0;0.13;no;3
22;38400;hipoteca;4;deuda;A;10000;5.42;0;0.26;no;2
23;38400;pagada;5;estudios;B;7675;10;0;0.2;no;4
22;30000;alquiler;1;estudios;C;4000;;0;0.13;no;3
25;38400;hipoteca;2;deuda;A;10000;7.29;0;0.26;no;2
23;38400;hipoteca;7;viaje;B;5000;10.37;0;0.13;no;4
23;30000;alquiler;0;deuda;B;4000;10.36;0;0.13;no;3
23;30000;alquiler;0;medico;B;4000;10.36;0;0.13;no;4
23;38400;hipoteca;0;personal;B;5000;9.25;0;0.13;no;3
26;30000;alquiler;4;viaje;B;4000;10.75;0;0.13;no;3
22;30000;alquiler;0;viaje;D;4000;15.21;1;0.13;no;2
22;38400;hipoteca;;personal;A;1000;5.79;0;0.03;no;2
25;38400;hipoteca;5;medico;A;5700;6.17;0;0.15;no;2
26;32400;hipoteca;10;medico;D;10000;;1;0.31;si;4
22;30000;alquiler;1;personal;C;4000;;0;0.13;no;4
26;38400;hipoteca;5;deuda;A;6000;7.51;0;0.16;no;3
26;30000;alquiler;1;personal;B;4000;11.83;1;0.13;no;4
25;30000;alquiler;6;estudios;B;4000;9.76;0;0.13;no;3
24;30000;alquiler;1;estudios;C;4000;11.34;0;0.13;no;3
25;30900;alquiler;1;viaje;D;4000;12.61;1;0.13;no;3
24;38400;hipoteca;7;estudios;C;10000;14.72;0;0.26;no;2
26;31104;alquiler;1;deuda;B;4000;9.99;0;0.13;no;3
24;31200;alquiler;3;deuda;B;4000;12.42;0;0.13;no;4
25;38400;hipoteca;9;viaje;B;12000;10.38;0;0.31;no;3
22;38400;pagada;6;personal;C;10000;14.72;0;0.26;no;3
22;38400;hipoteca;6;personal;A;8500;7.14;0;0.22;no;3
23;31200;alquiler;2;deuda;A;4000;8.59;0;0.13;no;3
24;31609;alquiler;4;medico;C;4000;13.92;0;0.13;si;4
26;38400;hipoteca;;estudios;C;10000;13.98;0;0.26;no;4
21;32400;hipoteca;3;personal;C;1750;13.61;1;0.05;si;4
22;32000;alquiler;0;viaje;A;4000;5.42;0;0.13;no;4
23;38400;hipoteca;5;estudios;A;10000;7.14;0;0.26;no;3
25;32000;alquiler;1;medico;B;4000;11.49;0;0.13;no;4
24;32000;alquiler;2;reforma;D;4000;17.93;1;0.13;no;3
23;32000;alquiler;0;personal;A;4000;7.68;0;0.13;no;4
26;32400;alquiler;9;medico;C;4000;14.27;0;0.12;no;2
25;32400;alquiler;6;medico;B;4000;10.08;0;0.12;no;2
24;32500;alquiler;5;medico;D;4000;16.29;0;0.12;si;3
23;32535;alquiler;6;personal;B;4000;;0;0.12;no;2
24;38400;pagada;0;viaje;D;8000;16;0;0.21;si;2
23;38400;pagada;7;personal;D;6000;13.24;0;0.16;si;3
25;32640;alquiler;4;deuda;C;4000;12.73;0;0.12;si;4
21;38400;pagada;0;viaje;C;12200;;0;0.32;no;2
23;32993;alquiler;6;medico;B;4000;11.71;1;0.12;no;4
22;38423;hipoteca;6;estudios;A;2000;8.49;0;0.05;no;3
24;38450;hipoteca;6;personal;A;5500;7.49;0;0.14;no;4
22;32484;hipoteca;6;reforma;A;6250;7.51;1;0.19;no;4
23;38492;hipoteca;7;medico;B;6500;;0;0.17;no;4
25;38496;hipoteca;7;estudios;A;8000;6.03;0;0.21;no;4
26;32496;hipoteca;8;deuda;D;4200;16.02;1;0.13;no;3
22;33000;alquiler;5;deuda;A;4000;7.88;0;0.12;no;4
23;33000;alquiler;3;deuda;B;4000;10.96;0;0.12;no;4
26;33227;alquiler;2;estudios;B;4000;9.88;0;0.12;no;3
21;38500;hipoteca;5;personal;A;6500;7.51;0;0.17;no;3
23;34000;alquiler;4;medico;B;4000;12.69;0;0.12;no;2
24;38500;hipoteca;5;personal;C;2500;;0;0.06;no;4
23;38500;hipoteca;2;deuda;A;3000;;0;0.08;no;2
25;34200;alquiler;1;estudios;B;4000;;0;0.12;no;2
23;34500;alquiler;3;deuda;B;4000;11.49;0;0.12;no;4
22;38628;hipoteca;6;deuda;B;4800;9.99;0;0.12;no;4
22;34800;alquiler;;deuda;B;4000;10.74;0;0.11;no;3
22;32644;hipoteca;6;viaje;D;13750;16.45;1;0.42;si;4
20;32652;hipoteca;0;personal;D;6000;14.61;1;0.18;no;4
23;38667;hipoteca;2;medico;C;4800;11.91;0;0.12;no;4
25;35000;alquiler;4;viaje;D;4000;16.29;0;0.11;si;2
25;29000;alquiler;1;reforma;D;4000;14.54;1;0.14;si;3
21;29000;alquiler;0;estudios;D;4000;14.83;1;0.14;no;4
25;35000;alquiler;4;estudios;A;4000;7.51;0;0.11;no;3
25;38880;hipoteca;1;personal;A;9500;7.51;0;0.24;no;4
22;29000;alquiler;5;estudios;D;4000;15.33;1;0.14;si;4
24;29000;alquiler;1;medico;B;4000;9.96;1;0.14;no;3
26;38904;hipoteca;1;reforma;B;10000;12.21;0;0.26;no;2
25;35500;alquiler;5;medico;B;4000;10.99;0;0.11;no;3
24;39000;hipoteca;8;viaje;A;1200;;0;0.03;no;2
26;30000;alquiler;3;medico;C;4000;14.27;1;0.13;si;2
22;36000;alquiler;0;medico;A;4000;5.42;0;0.11;no;3
22;36000;alquiler;6;viaje;B;4000;;0;0.11;no;4
22;36000;alquiler;3;estudios;A;4000;5.42;0;0.11;no;2
25;36000;alquiler;2;personal;C;4000;13.61;0;0.11;si;3
22;30000;alquiler;1;estudios;D;4000;14.96;1;0.13;si;2
24;36000;alquiler;0;deuda;A;4000;7.4;0;0.11;no;4
22;36000;alquiler;0;personal;A;4000;8.94;0;0.11;no;4
26;36000;alquiler;0;personal;B;4000;10.14;0;0.11;no;2
23;36300;alquiler;0;viaje;A;4000;7.68;0;0.11;no;2
22;37000;alquiler;2;estudios;B;4000;10.95;0;0.11;no;2
21;37000;alquiler;0;personal;B;4000;10.08;0;0.11;no;3
21;37200;alquiler;5;medico;C;4000;13.49;0;0.11;si;4
23;38000;alquiler;3;medico;C;4000;14.26;0;0.11;no;4
22;39000;hipoteca;4;personal;B;3250;10.99;0;0.08;no;2
25;39000;hipoteca;9;reforma;C;3000;13.99;0;0.08;si;3
22;38400;alquiler;5;estudios;B;4000;10.59;0;0.1;no;3
23;38400;alquiler;7;personal;B;4000;10.59;0;0.1;no;2
22;38400;alquiler;4;estudios;C;4000;12.99;0;0.1;no;2
21;39000;hipoteca;5;estudios;A;1000;7.49;0;0.03;no;3
24;38400;alquiler;4;deuda;A;4000;7.29;0;0.1;no;3
22;32400;alquiler;4;viaje;D;4000;;1;0.12;si;2
25;38400;alquiler;2;estudios;B;4000;12.53;0;0.1;no;4
23;38850;alquiler;0;estudios;C;4000;12.72;0;0.1;si;2
25;39000;alquiler;4;medico;A;4000;7.88;0;0.1;no;4
24;39000;alquiler;3;medico;D;4000;14.61;0;0.1;si;4
24;39000;hipoteca;3;reforma;A;5600;5.42;0;0.14;no;4
23;39000;hipoteca;3;estudios;C;5000;12.98;0;0.13;no;4
26;39000;hipoteca;10;viaje;A;9500;6.91;0;0.24;no;3
25;39000;hipoteca;9;medico;A;4500;6.54;0;0.12;no;4
26;33000;hipoteca;0;reforma;C;9000;13.72;1;0.27;no;2
25;39000;hipoteca;6;deuda;A;6000;7.51;0;0.15;no;2
22;40000;alquiler;1;estudios;B;4000;12.69;0;0.1;no;3
23;40000;alquiler;3;estudios;C;4000;13.8;0;0.1;si;3
24;40000;alquiler;3;deuda;A;4000;5.42;0;0.1;no;2
25;34000;alquiler;;reforma;A;4000;;1;0.12;no;2
23;39000;hipoteca;8;estudios;A;10000;7.51;0;0.26;no;2
22;39000;hipoteca;6;personal;A;10750;;0;0.28;no;3
21;33000;hipoteca;2;reforma;A;3250;7.14;1;0.1;no;3
22;40000;alquiler;2;estudios;A;4000;;0;0.1;no;2
21;40000;alquiler;3;estudios;A;4000;7.51;0;0.1;no;2
22;40000;alquiler;2;personal;B;4000;11.49;0;0.1;no;4
22;40000;alquiler;0;personal;A;4000;7.43;0;0.1;no;4
26;40200;alquiler;1;estudios;A;4000;6.76;0;0.1;no;4
23;35000;alquiler;2;reforma;B;4000;12.18;1;0.11;no;4
23;39000;hipoteca;0;viaje;C;3000;12.53;0;0.08;si;4
23;41004;alquiler;1;medico;A;4000;7.68;0;0.1;no;4
24;41160;alquiler;2;medico;A;4000;;0;0.1;no;4
24;35200;alquiler;1;medico;D;4000;16;1;0.11;si;3
21;42000;alquiler;4;estudios;B;4000;12.42;0;0.1;no;3
23;42000;alquiler;0;viaje;B;4000;10.59;0;0.1;no;2
26;33000;hipoteca;1;deuda;C;12000;10.91;1;0.36;si;3
21;36000;alquiler;5;reforma;C;4000;12.99;1;0.11;no;4
23;36000;alquiler;7;medico;B;4000;10.99;1;0.11;no;4
23;39120;pagada;4;medico;B;7000;11.71;0;0.18;no;3
22;39124;pagada;6;viaje;A;5000;7.74;0;0.13;no;4
25;33168;hipoteca;9;personal;C;6000;15.96;1;0.18;no;4
26;33192;hipoteca;;personal;B;3000;12.69;1;0.09;no;4
26;36000;alquiler;2;personal;D;4000;14.54;1;0.11;no;2
22;42000;alquiler;4;viaje;D;4000;14.09;0;0.1;no;4
22;42000;alquiler;3;medico;B;4000;8.88;0;0.1;no;4
23;39216;hipoteca;5;viaje;C;10000;13.49;0;0.25;no;3
23;42000;alquiler;2;viaje;A;4000;5.79;0;0.1;no;4
22;39300;hipoteca;6;medico;B;7000;9.62;0;0.18;no;4
22;39300;hipoteca;5;estudios;D;5325;14.59;0;0.14;si;3
22;42000;alquiler;0;viaje;C;4000;13.22;0;0.1;no;3
25;42500;alquiler;0;medico;C;4000;12.99;0;0.09;no;3
22;42996;alquiler;3;estudios;C;4000;;0;0.09;no;4
22;39396;hipoteca;1;estudios;A;5000;6.62;0;0.13;no;4
24;43000;alquiler;8;viaje;B;4000;12.69;0;0.09;no;2
24;39456;pagada;8;personal;A;1325;6.62;0;0.03;no;2
23;39456;pagada;7;estudios;A;14000;7.29;0;0.35;no;3
25;43000;alquiler;9;medico;C;4000;12.99;0;0.09;no;4
26;39600;alquiler;3;estudios;A;4000;5.79;1;0.1;no;4
25;45600;alquiler;2;medico;A;4000;6.54;0;0.09;no;3
23;39500;hipoteca;3;deuda;C;10000;14.22;0;0.25;si;2
22;41000;alquiler;7;personal;A;4000;7.51;1;0.1;no;3
23;47000;alquiler;3;deuda;A;4000;;0;0.09;no;4
25;41000;alquiler;1;personal;D;4000;14.84;1;0.1;si;4
22;47004;alquiler;2;personal;A;4000;;0;0.09;no;3
23;47004;alquiler;3;estudios;C;4000;12.53;0;0.09;si;4
24;47088;alquiler;8;deuda;A;4000;6.62;0;0.08;no;4
22;48000;alquiler;6;estudios;B;4000;9.91;0;0.08;no;3
22;48000;alquiler;3;estudios;A;4000;;0;0.08;no;4
21;39600;pagada;5;personal;A;3500;6.62;0;0.09;no;3
26;48000;alquiler;3;viaje;A;4000;5.79;0;0.08;no;2
25;48000;alquiler;0;viaje;A;4000;7.29;0;0.08;no;4
25;39600;hipoteca;5;reforma;B;4800;12.42;0;0.12;no;4
24;42000;alquiler;8;reforma;B;4000;11.86;1;0.1;no;2
24;42000;alquiler;2;reforma;C;4000;12.73;1;0.1;si;3
25;39600;hipoteca;9;personal;B;5000;8.88;0;0.13;no;3
23;39600;hipoteca;7;medico;A;6000;7.88;0;0.15;no;3
23;39600;hipoteca;8;estudios;A;8250;9.32;0;0.21;no;2
26;33660;hipoteca;0;deuda;A;4500;5.99;1;0.13;no;2
24;44000;alquiler;1;deuda;D;4000;17.58;1;0.09;no;2
24;50000;alquiler;1;reforma;A;4000;5.42;0;0.08;no;2
26;39672;hipoteca;10;personal;D;11500;15.7;0;0.29;no;4
23;39689;pagada;1;viaje;C;13000;13.57;0;0.33;si;2
23;39700;hipoteca;8;estudios;A;8400;7.51;0;0.21;no;4
24;50000;alquiler;6;personal;A;4000;7.66;0;0.08;no;4
24;50000;alquiler;0;personal;A;4000;;0;0.08;no;4
25;50000;alquiler;2;deuda;B;4000;10.37;0;0.08;no;2
23;50000;alquiler;1;medico;A;4000;5.42;0;0.08;no;2
23;39800;hipoteca;5;medico;B;9750;10.99;0;0.24;no;3
24;39828;pagada;;medico;B;3000;8.88;0;0.08;no;4
21;39828;pagada;;personal;B;15000;10.99;0;0.38;no;3
25;50000;alquiler;6;medico;A;4000;6.92;0;0.08;no;4
23;50000;alquiler;3;estudios;C;4000;12.61;0;0.08;si;2
24;50000;alquiler;1;viaje;A;4000;7.88;0;0.08;no;3
22;39875;hipoteca;5;viaje;B;10000;;0;0.25;no;3
23;50000;alquiler;4;viaje;D;4000;14.96;0;0.08;no;3
22;50000;alquiler;7;medico;A;4000;7.4;0;0.08;no;2
25;50000;alquiler;3;estudios;D;4000;14.61;0;0.08;no;2
22;50004;alquiler;2;deuda;A;4000;6.92;0;0.08;no;2
24;50004;alquiler;5;estudios;A;4000;7.88;0;0.08;no;2
22;44582;alquiler;6;reforma;A;4000;5.99;1;0.09;no;4
26;39990;hipoteca;3;reforma;C;2400;14.27;0;0.06;si;2
21;50808;alquiler;2;estudios;A;4000;6.17;0;0.08;no;4
22;39996;hipoteca;7;medico;B;6000;12.42;0;0.15;no;4
24;39996;hipoteca;1;personal;B;3000;9.91;0;0.08;no;4
23;50952;alquiler;0;estudios;C;4000;11.54;0;0.08;si;4
24;45000;alquiler;0;deuda;D;4000;15.99;1;0.09;no;4
23;51600;alquiler;6;personal;B;4000;9.91;0;0.08;no;3
24;39996;hipoteca;4;estudios;C;5000;14.82;0;0.13;si;3
23;45630;alquiler;0;deuda;D;4000;19.29;1;0.09;si;3
23;51996;alquiler;7;deuda;C;4000;13.98;0;0.08;si;2
24;52000;alquiler;3;deuda;B;4000;10.37;0;0.08;no;3
23;39996;pagada;1;medico;B;11000;9.63;0;0.28;no;3
24;52000;alquiler;3;medico;B;4000;9.88;0;0.08;no;2
25;46392;alquiler;9;deuda;D;4000;16.32;1;0.09;si;3
26;52800;alquiler;1;personal;A;4000;;0;0.08;no;3
22;53285;alquiler;0;estudios;A;4000;7.9;0;0.08;no;4
24;53636;alquiler;8;estudios;B;4000;10.62;0;0.07;no;2
23;48000;alquiler;8;personal;B;4000;10.37;1;0.08;no;3
25;54000;alquiler;2;estudios;B;4000;11.89;0;0.07;no;2
26;54996;alquiler;0;personal;A;4000;7.51;0;0.07;no;4
22;39996;pagada;5;estudios;C;3500;;0;0.09;no;2
23;55000;alquiler;8;medico;B;4000;10.99;0;0.07;no;2
26;55000;alquiler;0;estudios;A;4000;6.92;0;0.07;no;4
21;55000;alquiler;5;deuda;C;4000;13.35;0;0.07;si;2
23;55000;alquiler;5;personal;B;4000;11.86;0;0.07;no;4
23;55000;alquiler;4;medico;B;4000;12.53;0;0.07;no;2
24;55000;alquiler;0;estudios;B;4000;11.26;0;0.07;no;4
23;56000;alquiler;7;viaje;C;4000;15.23;0;0.07;si;4
23;39996;hipoteca;5;estudios;A;10000;7.51;0;0.25;no;3
21;57000;alquiler;6;estudios;A;4000;7.49;0;0.07;no;4
21;39996;hipoteca;5;personal;B;8000;10.25;0;0.2;no;4
22;57000;alquiler;6;viaje;B;4000;;0;0.07;no;2
23;57500;alquiler;1;viaje;B;4000;8.88;0;0.07;no;2
23;39996;hipoteca;3;estudios;A;3600;7.51;0;0.09;no;4
21;39996;hipoteca;6;estudios;C;13000;13.48;0;0.33;no;2
23;57600;alquiler;1;deuda;A;4000;7.75;0;0.07;no;2
26;39996;pagada;10;viaje;C;7000;13.57;0;0.18;si;3
23;58000;alquiler;1;viaje;B;4000;10.74;0;0.07;no;2
22;58000;alquiler;5;estudios;B;4000;10;0;0.07;no;4
23;58320;alquiler;4;medico;B;4000;10.37;0;0.07;no;2
22;39996;hipoteca;6;deuda;A;6000;8;0;0.15;no;3
26;52800;alquiler;4;personal;B;4000;9.99;1;0.08;no;3
25;39996;hipoteca;7;viaje;B;3200;;0;0.08;no;4
22;60000;alquiler;6;estudios;A;4000;7.51;0;0.07;no;3
23;60000;alquiler;7;estudios;D;4000;15.33;0;0.07;si;2
23;60000;alquiler;1;estudios;B;4000;11.83;0;0.07;no;3
26;54000;alquiler;0;medico;C;4000;13.47;1;0.07;no;2
22;60000;alquiler;6;personal;B;4000;12.21;0;0.07;no;3
24;39996;hipoteca;8;deuda;C;7500;12.22;0;0.19;no;4
26;62000;alquiler;1;estudios;C;4000;13.06;0;0.06;si;2
26;39996;hipoteca;10;viaje;A;6500;8.32;0;0.16;no;3
23;62000;alquiler;3;personal;C;4000;10.59;0;0.06;si;3
24;56400;alquiler;0;estudios;D;4000;14.75;1;0.07;si;2
25;62500;alquiler;9;estudios;A;4000;8.9;0;0.06;no;3
25;62500;alquiler;6;deuda;B;4000;10.37;0;0.06;no;3
21;63000;alquiler;0;estudios;B;4000;11.49;0;0.06;no;3
22;63000;alquiler;5;estudios;B;4000;;0;0.06;no;4
23;63500;alquiler;0;estudios;C;4000;;0;0.06;no;4
22;40000;hipoteca;6;personal;B;14400;12.69;0;0.36;no;3
22;40000;hipoteca;6;medico;A;9875;7.9;0;0.25;no;4
24;65000;alquiler;0;deuda;A;4000;7.51;0;0.06;no;3
25;65000;alquiler;3;personal;A;4000;6.62;0;0.06;no;2
26;40000;hipoteca;10;reforma;C;12000;13.49;0;0.3;no;2
24;65000;alquiler;1;medico;A;4000;5.42;0;0.06;no;2
23;65000;alquiler;1;personal;A;4000;7.49;0;0.06;no;4
25;65499;alquiler;9;viaje;C;4000;12.23;0;0.06;no;4
23;40000;hipoteca;5;estudios;B;18000;9.91;0;0.45;no;2
23;61000;alquiler;2;deuda;D;4000;16;1;0.07;si;4
24;67200;alquiler;5;reforma;D;4000;;0;0.06;si;2
23;67450;alquiler;8;estudios;A;4000;6.76;0;0.06;no;3
22;40000;hipoteca;5;deuda;C;12000;13.49;0;0.3;no;2
25;68000;alquiler;0;viaje;A;4000;6.76;0;0.06;no;2
22;63000;alquiler;6;reforma;B;4000;11.12;1;0.06;no;2
23;69360;alquiler;5;deuda;A;4000;7.74;0;0.06;no;3
23;63996;alquiler;2;reforma;D;4000;;1;0.06;si;2
21;70000;alquiler;5;estudios;A;4000;7.9;0;0.06;no;2
26;70000;alquiler;4;deuda;A;4000;5.99;0;0.06;no;4
24;70000;alquiler;8;viaje;C;4000;13.49;0;0.06;si;4
23;40000;hipoteca;0;deuda;B;6000;10.65;0;0.15;no;4
26;70000;alquiler;4;viaje;C;4000;13.06;0;0.06;si;4
26;70000;alquiler;5;personal;C;4000;13.85;0;0.06;no;4
23;34000;hipoteca;3;viaje;C;12000;14.27;1;0.35;no;4
25;40000;hipoteca;9;deuda;C;7100;;0;0.18;no;2
24;72000;alquiler;4;deuda;A;4000;7.88;0;0.06;no;3
25;75000;alquiler;4;personal;B;4000;11.49;0;0.05;no;2
22;40000;hipoteca;6;medico;A;5000;6.03;0;0.13;no;2
22;34000;hipoteca;6;medico;B;4500;11.71;1;0.13;no;2
25;40000;hipoteca;7;estudios;A;2100;6.03;0;0.05;no;2
23;40000;hipoteca;7;viaje;A;5000;6.62;0;0.13;no;4
24;40000;hipoteca;1;medico;B;7500;12.42;0;0.19;no;4
23;40000;hipoteca;4;personal;B;6000;;0;0.15;no;2
22;77250;alquiler;3;personal;B;4000;11.71;0;0.05;no;3
22;78972;alquiler;5;medico;C;4000;;0;0.05;si;2
24;40000;hipoteca;6;estudios;B;5400;12.42;0;0.14;no;3
25;80000;alquiler;2;deuda;B;4000;10.59;0;0.05;no;3
22;40000;hipoteca;2;estudios;A;10000;6.03;0;0.25;no;3
23;80000;alquiler;3;estudios;D;4000;14.46;0;0.05;si;4
22;80000;alquiler;6;estudios;B;4000;11.12;0;0.05;no;4
22;40000;hipoteca;3;medico;B;6700;10.65;0;0.17;no;4
24;81996;alquiler;1;deuda;C;4000;12.53;0;0.05;no;4
26;82000;alquiler;2;estudios;C;4000;13.48;0;0.05;no;2
26;34000;hipoteca;5;estudios;B;5500;10.65;1;0.16;no;3
23;92000;alquiler;2;estudios;A;4000;5.42;0;0.04;no;2
24;93000;alquiler;8;medico;A;4000;5.42;0;0.04;no;2
24;95000;alquiler;0;estudios;A;4000;7.9;0;0.04;no;4
23;95000;alquiler;7;estudios;B;4000;11.49;0;0.04;no;3
23;40000;pagada;1;viaje;B;15000;12.42;0;0.38;no;4
24;40000;hipoteca;3;estudios;B;6400;9.91;0;0.16;no;4
26;98000;alquiler;3;viaje;A;4000;9.32;0;0.04;no;2
22;40000;hipoteca;6;medico;A;7500;7.51;0;0.19;no;3
23;88000;alquiler;4;reforma;A;4000;7.14;1;0.05;no;4
24;40000;hipoteca;8;deuda;A;4500;6.62;0;0.11;no;3
22;40000;hipoteca;3;deuda;A;2000;7.9;0;0.05;no;2
21;40000;pagada;0;estudios;C;2500;14.27;0;0.06;no;2
26;34000;hipoteca;3;medico;D;4000;17.58;1;0.12;no;3
26;130000;alquiler;0;estudios;B;4000;10.99;0;0.03;no;3
24;118068;alquiler;0;deuda;B;4000;10.51;1;0.03;no;3
26;131000;alquiler;10;reforma;C;4000;12.84;0;0.03;si;3
21;40000;hipoteca;5;personal;A;5000;6.62;0;0.13;no;2
26;158000;alquiler;0;reforma;D;4000;14.84;1;0.03;no;3
24;15000;alquiler;8;deuda;C;4200;13.11;1;0.28;si;2
24;16000;alquiler;2;deuda;D;4200;;1;0.26;no;4
21;19000;alquiler;2;reforma;C;4200;;1;0.22;si;2
23;21000;alquiler;3;estudios;A;4200;;0;0.2;no;3
24;40000;hipoteca;6;viaje;B;10000;9.91;0;0.25;no;3
23;21600;alquiler;0;personal;C;4200;15.23;0;0.19;no;4
22;22560;alquiler;3;personal;D;4200;15.2;1;0.19;si;4
23;40000;hipoteca;7;medico;A;4000;7.51;0;0.1;no;2
23;23520;alquiler;8;medico;A;4200;;0;0.18;no;3
25;24996;alquiler;1;personal;C;4200;14.26;0;0.17;si;2
24;26000;alquiler;0;personal;D;4200;16;1;0.16;no;2
22;28080;alquiler;;medico;B;4200;9.91;1;0.15;no;4
25;40000;hipoteca;9;reforma;B;8000;;0;0.2;no;4
26;29000;alquiler;10;deuda;B;4200;;0;0.14;no;3
26;30000;alquiler;3;personal;B;4200;9.91;0;0.14;no;4
26;30000;alquiler;1;estudios;D;4200;16.49;1;0.14;no;3
25;30000;alquiler;3;medico;D;4200;15.99;0;0.14;no;3
25;12000;alquiler;3;deuda;C;4350;12.98;1;0.36;si;4
23;40000;pagada;;viaje;A;2000;;0;0.05;no;4
22;22000;alquiler;6;medico;C;4350;11.54;0;0.2;no;3
23;40000;pagada;;viaje;A;7500;5.42;0;0.19;no;2
22;30000;alquiler;;estudios;A;4350;6.03;0;0.14;no;4
23;40000;pagada;7;medico;A;5000;8.49;0;0.13;no;4
23;40000;hipoteca;3;viaje;B;4000;9.99;0;0.1;no;4
26;40000;hipoteca;3;medico;A;2200;8.49;0;0.06;no;3
25;40000;hipoteca;0;medico;A;3600;7.49;0;0.09;no;3
24;14400;alquiler;0;deuda;B;4375;;1;0.3;no;2
23;40000;hipoteca;7;personal;B;4000;10.99;0;0.1;no;4
26;40000;hipoteca;6;reforma;B;6000;11.99;0;0.15;no;2
26;15000;alquiler;0;deuda;B;4375;12.69;1;0.29;no;4
24;16800;alquiler;;deuda;B;4375;9.99;1;0.26;no;2
24;22044;alquiler;3;reforma;D;4375;16.4;1;0.2;si;3
26;24480;alquiler;0;medico;A;4375;5.79;0;0.18;no;4
23;50000;alquiler;5;deuda;A;4375;8.49;0;0.09;no;2
22;14400;alquiler;0;reforma;D;4400;19.91;1;0.31;no;4
22;19200;alquiler;6;personal;B;4400;11.49;1;0.23;no;2
21;20000;alquiler;3;personal;A;4400;6.91;0;0.22;no;4
24;25000;alquiler;0;deuda;A;4400;6.76;0;0.18;no;3
21;40000;hipoteca;5;estudios;C;2000;12.99;0;0.05;si;4
22;32496;alquiler;5;personal;A;4400;8.49;0;0.14;no;4
23;40000;hipoteca;3;medico;A;5000;5.42;0;0.13;no;3
23;40000;hipoteca;7;estudios;C;6000;14.79;0;0.15;no;2
26;40000;hipoteca;5;estudios;A;7200;7.49;0;0.18;no;2
22;34000;hipoteca;6;viaje;D;15000;15.99;1;0.44;si;2
23;38000;alquiler;5;viaje;B;4400;11.71;0;0.12;no;2
23;43000;alquiler;7;medico;B;4400;11.99;1;0.1;no;4
22;40000;hipoteca;6;deuda;C;5000;12.99;0;0.13;si;2
24;49000;alquiler;8;deuda;D;4400;16.77;1;0.09;si;3
22;60000;alquiler;0;estudios;C;4400;15.23;0;0.07;si;3
24;72000;alquiler;6;personal;A;4400;;0;0.06;no;4
24;80000;alquiler;7;estudios;D;4400;19.03;0;0.06;si;2
23;40000;hipoteca;7;viaje;B;13000;9.99;0;0.33;no;3
26;95459;alquiler;10;deuda;C;4400;13.8;0;0.05;no;4
24;33600;alquiler;5;personal;B;4450;11.49;0;0.13;no;4
24;42200;alquiler;5;deuda;A;4450;9.32;0;0.11;no;4
22;40000;hipoteca;5;personal;A;5400;7.42;0;0.14;no;2
22;40000;hipoteca;7;estudios;A;14000;7.49;0;0.35;no;3
22;14400;alquiler;0;estudios;A;4500;7.88;1;0.31;no;4
25;40000;hipoteca;2;personal;B;4500;10.99;0;0.11;no;3
25;40000;hipoteca;9;deuda;C;3500;13.49;0;0.09;no;3
24;40000;hipoteca;3;viaje;B;3200;10.99;0;0.08;no;2
23;15600;alquiler;1;viaje;A;4500;5.99;1;0.29;no;4
25;15600;alquiler;3;personal;A;4500;7.51;1;0.29;no;3
22;40000;hipoteca;3;deuda;B;7500;11.49;0;0.19;no;3
24;40000;pagada;6;estudios;A;2800;8.49;0;0.07;no;4
25;17600;alquiler;;personal;C;4500;13.99;1;0.26;no;2
25;40000;pagada;0;medico;A;11000;8.49;0;0.28;no;2
23;18000;alquiler;;viaje;A;4500;7.49;1;0.25;no;4
24;40000;hipoteca;5;reforma;A;15000;7.49;0;0.38;no;2
24;40000;hipoteca;5;deuda;B;3000;11.99;0;0.07;no;4
23;40000;hipoteca;6;medico;B;13200;;0;0.33;no;4
23;40000;hipoteca;2;medico;B;2000;10.99;0;0.05;no;4
21;18000;alquiler;2;personal;B;4500;10.38;1;0.25;no;2
24;40000;hipoteca;2;reforma;B;2500;9.99;0;0.06;no;2
23;18000;alquiler;0;deuda;B;4500;12.21;1;0.25;no;3
24;18200;alquiler;8;estudios;A;4500;8.94;1;0.25;no;2
24;40000;hipoteca;6;deuda;A;10000;5.79;0;0.25;no;4
25;18204;alquiler;0;estudios;C;4500;13.61;1;0.25;no;2
26;40000;pagada;0;medico;B;4300;10.74;0;0.11;no;2
21;20000;alquiler;5;personal;C;4500;13.49;0;0.23;no;2
24;40000;hipoteca;9;medico;B;2125;11.11;0;0.05;no;4
21;20004;alquiler;4;medico;A;4500;8;0;0.22;no;2
21;20400;alquiler;2;personal;B;4500;10.99;0;0.22;no;2
25;21000;alquiler;0;deuda;B;4500;9.62;0;0.21;no;4
25;21000;alquiler;2;estudios;D;4500;16.45;1;0.21;si;4
22;40000;hipoteca;7;personal;A;10850;7.66;0;0.27;no;4
23;21600;alquiler;1;estudios;D;4500;15.65;1;0.21;no;2
23;23421;alquiler;3;medico;D;4500;17.99;1;0.19;si;3
23;34000;hipoteca;0;estudios;C;4000;14.17;1;0.12;no;2
23;40000;hipoteca;6;personal;B;7200;11.11;0;0.18;no;2
21;23916;alquiler;2;estudios;B;4500;9.62;0;0.19;no;4
26;24000;alquiler;10;medico;B;4500;12.42;0;0.19;no;4
